Time R1 R2 R3 R4 R5
18.38 889 1299 2006 1066 418
18.39 886 1276 2006 1063 419
18.4 896 1288 1990 1083 417
18.4 888 1273 1981 1079 413
18.41 888 1279 1987 1076 420
18.42 888 1257 1991 1076 426
18.42 893 1272 1993 1079 423
18.43 907 1288 1995 1066 420
18.44 902 1266 1994 1061 411
18.44 911 1249 1989 1055 410
18.45 925 1259 1971 1059 416
18.46 903 1275 1955 1067 408
18.46 912 1281 1949 1055 413
18.47 904 1277 1948 1061 410
18.48 909 1273 1948 1065 405
18.48 901 1266 1956 1065 420
18.49 896 1275 1943 1068 422
18.5 907 1278 1946 1064 425
18.5 921 1274 1928 1063 430
18.51 911 1265 1936 1058 434
18.51 899 1280 1943 1080 434
18.52 897 1296 1944 1066 439
18.53 879 1293 1946 1062 446
18.53 876 1282 1944 1057 439
18.54 889 1276 1958 1052 435
18.55 883 1277 1954 1046 428
18.55 859 1283 1960 1057 431
18.56 881 1287 1957 1065 424
18.57 896 1281 1967 1060 418
18.57 875 1270 1979 1064 408
18.58 886 1265 1989 1068 410
18.59 900 1262 2000 1079 411
18.59 901 1255 2001 1073 414
18.6 911 1258 2021 1065 419
18.61 914 1248 2015 1048 421
18.62 914 1255 2012 1039 424
18.62 902 1248 2001 1049 422
18.63 906 1254 1994 1066 418
18.64 908 1245 1989 1064 432
18.64 905 1243 1989 1070 425
18.65 902 1243 1978 1061 424
18.65 891 1233 1968 1060 424
18.66 879 1252 1965 1056 422
18.67 909 1249 1958 1066 424
18.68 911 1246 1954 1059 426
18.68 877 1239 1969 1060 425
18.69 887 1249 1961 1057 422
18.7 872 1240 1954 1072 426
18.7 911 1246 1966 1063 424
18.71 915 1254 1962 1071 420
18.72 913 1273 1959 1071 420
18.72 912 1266 1967 1064 413
18.73 899 1274 1949 1072 420
18.73 896 1279 1962 1070 413
18.74 938 1273 1971 1062 414
18.75 940 1267 1969 1056 418
18.76 934 1272 1963 1054 423
18.76 939 1264 1970 1042 423
18.77 939 1257 1987 1033 418
18.78 938 1256 1976 1025 421
18.78 948 1257 1966 1015 414
18.79 931 1262 1977 1013 403
18.8 931 1251 1975 1027 392
18.8 914 1250 1962 1045 393
18.81 909 1270 1955 1046 392
18.82 913 1253 1958 1039 391
18.82 909 1263 1975 1033 396
18.83 905 1267 1984 1035 391
18.84 907 1259 2001 1034 389
18.84 917 1250 1988 1039 378
18.85 920 1260 2003 1047 376
18.85 893 1253 1984 1047 381
18.86 903 1243 1988 1050 378
18.87 892 1247 1986 1043 378
18.88 903 1237 1984 1049 375
18.88 891 1248 1982 1049 378
18.89 897 1258 1985 1042 384
18.9 875 1255 1977 1046 377
18.9 891 1260 1974 1049 380
18.91 893 1274 1958 1063 372
18.92 892 1267 1956 1072 373
18.92 895 1270 1955 1082 378
18.93 909 1268 1945 1075 379
18.94 901 1282 1960 1072 377
18.94 910 1272 1970 1075 373
